Question,Answer
Q3: How does the ability to conduct electricity change according to physical and emotional states?,"A3: The ability to conduct electricity, measured by electro-dermal screening devices, changes according to physical and emotional states and environmental influences such as dryness or humidity."
Q1: What is one example of a device used to measure bio-energetic fields?,"A1: One example is the AMI device, which uses skin tissue sampling."
Q2: What has been found in studies on energy medicine treatments?,A2: Little scientific evidence supports the principles underlying energy medicine and its effectiveness.
Q3: What has been observed in investigations of energy medicine treatments?,A3: Investigations have shown that people can get different results when measured by the same machine in different places.
Q1: What is one reason some people claim to have benefited from following advice and treatment regimes based on Vega test results?,A1: Because they believe that removing obvious food allergens such as dairy and wheat can help alleviate symptoms.
Q2: Where has extensive research into magnet healing been carried out in recent years?,"A2: In Russia, Eastern Europe, Austria, Germany, the US, and the UK."
Q3: What is a common feature of lodestones that have been used for healing purposes since ancient times?,A3: They have magnetic properties.
Q1: What materials are usually used to encase magnets for magnet therapy?,A1: Plastic or ceramic material.
Q2: What thickness range of magnets is considered helpful for therapeutic effects in magnet therapy?,A2: 1⁄4 to 3⁄8 inch.
Q3: Which types of magnets are not suitable for healing due to their strength and characteristics?,"A3: Horseshoe, bar, and fridge magnets."
Q1: What conditions should not be treated with magnetic devices?,"A1: People with pacemakers, defibrillators, insulin pumps, or other electro-insulin devices, as well as pregnant women."
Q2: How does Energy Medicine regulation work in the UK compared to Europe and the US?,"A2: Energy Medicine is not regulated in the UK, but some devices have obtained a CE Mark in Europe or FDA approval in the US, mainly related to safety rather than effectiveness or claimed treatment measures."
Q3: What types of changes do devices like BEST measure using electrical changes over acupuncture points?,"A3: Devices like BEST measure electrical changes over acupuncture points and test for food intolerances, vitamin and mineral deficiencies."
Q1: Why have efforts to establish universal standards for energy medicine devices been challenging?,A1: Establishing universal standards for energy medicine devices has been difficult due to the range of devices and the many different types of practitioners who use them.
"Q2: Which device, introduced by Dr. Hiroshi Motoyama in Japan, measures polarisation values at acupuncture source points on the fingers and toes?","A2: The device is called AMI (now known as AMICS), which measures polarisation values at acupuncture source points on the fingers and toes to determine meridian balance."
Q3: Are certain types of energy medicine devices currently regulated in many countries?,"A3: No, certain types of energy medicine devices such as Radionics, magnet therapy, and flower and gem essence therapy are not yet regulated in most countries."
Q1: Who developed the BICOM system?,A1: Mark Galloway developed the BICOM system.
Q2: What is the name of the device devised by German physician Dr Franz Morrell and electronics engineer Mr Eric Rasche in the 1970s?,"A2: The MORA (Nutri-Energetic Systems) device, named after combining the first letters of their names."
Q3: Who developed the NES (Nutri-Energetic Systems) device?,A3: Peter Fraser developed the NES (Nutri-Energetic Systems) device.
Q1: What is the primary function of the OBERON device?,A1: The OBERON device scans the body with different frequencies of magnetic field to identify areas of diseased tissue.
Q2: How does the SCIO (Scientific Consciousness Interface Operations System) work?,"A2: The SCIO collects data from wrist, ankle, and head electrodes, which is then assessed by sophisticated software for various remedies and conditions."
Q3: What is the intended purpose of using a biofeedback device like SCENAR?,"A3: The SCENAR is used to stimulate healing in areas of inflammation, injury, or infection on the body."
Q1: What do EDS (Electro-Dermal Sensitivity) devices measure?,"A1: Electrical changes at an acupuncture point, which can help test for food intolerances, vitamin and mineral deficiencies, and environmental sensitivities."
Q2: What is claimed to be a sign of health in Kirlian photography?,"A2: Luminous, regular patterns that are believed to indicate good health, while broken outlines are thought to indicate disease."
Q3: How reliable or accurate has been the method of diagnosis through Kirlian photography?,A3: It has not yet been proven to be very reliable or accurate as a method of diagnosis.
Q1: What did Dr. Edward Bach believe about mental attitude and emotional health in relation to illness and recovery?,A1: He believed that mental attitude and emotional health played a vital role in illness and recovery.
"Q2: How many Primary Negative States Of Mind did Dr. Bach identify, which led him to create the Bach Remedies?","A2: He identified 38 Primary Negative States Of Mind, from which he created flower or plant remedies for treatment."
"Q3: What is Rescue Remedy, a combination of five remedies created by Dr. Bach, used for?","A3: It is a combination of five remedies used to provide emotional support during emergencies or traumas, and can be taken as drops on a daily basis."
Q1: When was Dr Arthur Bailey first involved in creating flower remedies?,A1: Dr Arthur Bailey created the Bailey Essences in 1967.
Q2: What is the primary method used to extract essence from flowers and other plant materials?,"A2: The primary method involves soaking flowers or other plant materials in spring water in the sun, with optional boiling to extract their essence."
"Q3: Where are some of the most well-known flower remedies, such as the Australian Bush Flower Remedies, primarily based?",A3: The Australian Bush Flower Remedies are primarily based on Ian White's creations.
Q1: What claims do essences in energy medicine make about human states?,"A1: Essences in energy medicine claim that they can alter mental, emotional, physical, and spiritual states."
Q2: What type of testing is used to determine body reactions to various substances in Clinical Ecology?,"A2: Electrodermal devices are used to measure points on the skin to determine whether the body is reacting to irritants inhaled through the air, chemicals ingested with food, stored toxins, etc."
Q3: Where can more details about testing for food intolerance and food allergy be found?,A3: More details about this topic can be found in Chapter 12 of the text.
Q1: What types of conditions can energy medicine devices treat?,"A1: Energy medicine devices can be used to treat allergies and other sensitivities, asthma, joint problems, digestive problems, chronic diseases, and any condition (according to radionics practitioners) at a distance."
Q2: Is there scientific evidence to support the effectiveness of these therapies?,"A2: No, little scientific evidence exists to support the effectiveness of energy medicine therapies such as magnet therapy and radionics/dowsing."
Q3: What is believed to be especially helpful for emotional states in terms of energy medicine treatment?,A3: Flower remedies are believed to be especially helpful for treating emotional states.
Q1: Can energy medicine involve physical intervention?,"A1: No, energy medicine generally does not involve direct physical intervention."
Q2: Are there any specific individuals who should avoid using magnet therapy?,"A2: Yes, pregnant women and those with pacemakers should avoid using magnet therapy due to safety concerns."
Q3: Does energy medicine typically require a person's presence during a consultation?,"A3: No, in some forms of energy medicine, such as radionics, treatment can be given at a distance without requiring the person's physical presence."
Q1: What type of connection does one need to make with an energy medicine device?,A1: Either by means of electrodes or by holding an electrode and being tested with a probe touched to a point on the skin.
Q2: How is diagnosis made in the case of flower and gem remedies?,"A2: Diagnosis can be made online after answering questions about mood and emotions, or in consultation with a trained therapist."
Q3: What type of connection does one need to make with an energy medicine device for treatment?,A3: The devices require more sophisticated connections than the pendulum method used in radionics.
Q1: How is a remedy for alternative therapies typically administered?,"A1: A remedy can be administered in various forms such as drops, pills, or magnetic strip cards that are worn on the body."
Q2: What is typically expected from someone undergoing treatment with alternative therapies?,"A2: Treatment is subtle and may not produce noticeable effects at first, but people often report positive changes after a series of visits with their practitioner."
Q3: How long does one typically need to continue taking or wearing a remedy after receiving it from a practitioner?,"A3: The duration depends on the specific treatment, but for remedies given in drops or pills, you are required to continue taking them as directed by your practitioner."
Q1: What might happen to my symptoms immediately after an Energy Medicine Treatment?,"A1: You might experience immediate benefits from your Energy Medicine Treatment, or you might get an initial worsening followed by an improvement."
Q2: How should I handle a significant deterioration in my symptoms after an Energy Medicine Treatment?,"A2: If you experience a significant deterioration in your symptoms, contact your practitioner for advice."
Q3: What can I do to ensure the best results from my Energy Medicine Treatment?,"A3: For best results, carefully follow the directions for taking the remedy, using the magnet, as well as any diet and lifestyle advice given by your practitioner."
Q1: How does the energy medicine treatment feel?,"A1: The treatment is completely painless, and you may only experience a tiny tingling sensation from the application of the tiny electrical micro current."
Q2: What happens to radionics devices if they get wet?,"A2: Radionics devices usually lose their power if they get wet. It's recommended to keep them dry or waterproof to maintain their effectiveness, although some may still work weakly even after exposure to water."
Q3: Can a practitioner use radionics on someone without their consent?,"A3: Generally not, as the individual needs to be actively involved in their own healing process and provide their consent for any treatment."
Q1: What are some ways to find energy medicine practitioners in the UK?,"A1: You can find them through the British Flower and Vibrational Essences Association (www.bfvea.com), online directories such as The Institute for Complementary Medicine (www.i-c-m.org.uk) or EnergyMedicineDirectory.com, or by asking friends, family, and colleagues for personal recommendations."
Q2: What are the contact details for The Centre for Complementary and Integrated Medicine in London?,A2: The contact details for The Centre for Complementary and Integrated Medicine in London are 020 7935 7848 (tel) and www.complemed.co.uk (website).
"Q3: Does The Dove Clinic have a practice in London, and if so, what is the contact number?","A3: Yes, The Dove Clinic has a London practice with a contact number of 020 7580 8886."
Q1: What should I ask my practitioner about if I'm unsure about their qualifications?,"A1: You should ask your practitioner about their qualifications and training, and check with the organisations themselves to verify their validity."
Q2: How can I find out if an energy medicine device is effective?,"A2: Ask the practitioner what exactly the device is measuring, how it works, what the research is behind it, and what evidence there is of its usefulness in therapy."
Q3: Can you tell me approximately how often I may need to consult with my practitioner for this treatment?,"A3: Yes, ask your practitioner about the likely frequency of consultations that you may need and the costs involved."
Q1: What is the range of costs for magnet therapy devices?,A1: Magnet therapy prices range from $15 for a disc magnet to around $90 for a pulsed magnetic field device.
Q2: How do you contact your practitioner if you're not satisfied with energy medicine therapy?,"A2: Because there is no formal registration of energy medicine practitioners, your only recourse is to talk things over with your practitioner or contact their professional body if they belong to one."
"Q3: What are the prices for gemstones, ranging from a few pounds to hundreds of pounds depending on the size and quality of the stone?","A3: Gemstones vary in price from a few pounds upwards, to hundreds of pounds depending on the size and quality of the stone."
Q1: What types of creative therapies will be explored in this chapter?,"A1: This chapter will explore various types of creative therapy, including clay modelling, psychodrama, and more."
Q2: Where can creative therapies be used besides with a qualified practitioner or health professional?,"A2: Some creative therapies are also used in conventional medical settings, such as hospitals and clinics."
Q3: What forms of self-expression do creative therapies utilise for their therapeutic effects?,"A3: Creative therapies use art, music, sound, light, movement, colour, and the placement of objects as forms of self-expression."
Q1: What is creative therapy?,A1: Creative therapy refers to using creative expression via different mediums for a therapeutic purpose.
Q2: How can painting be used as a therapeutic tool?,"A2: Apart from painting for pleasure, it may also be used to express difficult emotions or memories that are hard to talk about or explore unconscious feelings."
Q3: What role does an art therapist play in the creative therapy process?,"A3: An art therapist helps you consider why you selected particular materials, shapes, images, or colours in your creative expression."
Q1: Can creative activities be healing in themselves?,"A1: Yes, they can be healing in their own right, allowing you to leave your troubles behind and enjoy a playful activity that boosts your energy and well-being."
Q2: How do creative therapies help adults reconnect with their inner child?,"A2: Creative therapies enable you to step outside of your busy life and remember the simple joy of play and creativity from childhood, helping you re-establish a connection with your ""inner child""."
Q3: What benefits can completing creative works give an individual?,A3: Completing creative works can give you a sense of achievement and boost your self-esteem.
Q1: What is the primary focus of modern-day creative therapies?,"A1: The primary focus of modern-day creative therapies is on the ""doing"" of the activity, without judgement or competition."
Q2: How long has the formal use of creative traditions in a therapeutic way been established?,A2: The formal use of creative traditions in a therapeutic way has developed over the last 100 years.
"Q3: What is the name of one of the psychoanalysts who contributed to the development of art therapy, along with Rudolf Steiner?","A3: One of the psychoanalysts who contributed to the development of art therapy is Sigmund Freud (note: it should be mentioned that Sigmund Fr is likely a shortened form of his name, not a full reference)."
Q1: What countries have accepted art therapy as a profession?,A1: The UK and US.
Q2: Where can I find information about art therapists in the UK and US?,A2: You can find information through the British Association of Art Therapists (BAAT) at www.baat.org and the American Art Therapy Association (AATA) at www.arttherapy.org.
Q3: How do I know if an art therapist is qualified to work within NHS settings in the UK?,A3: A recognized training and membership of the BAAT are a requirement for employment within NHS settings.
Q1: What is the origin of bibliotherapy?,"A1: The roots of bibliotherapy are unknown, but it seems to have grown out of Anna Freud's work on play therapy."
"Q2: Who coined the term ""anthroposophy"" and what did he believe about medicine?","A2: Rudolf Steiner coined the term ""anthroposophy"", and believed that medicine should treat not only the physical body, but also the subtle 'bodies' such as the etheric, astral, and ego bodies."
Q3: What aspects of the self does Steiner believe are interconnected in his concept of anthroposophical medicine?,"A3: According to Steiner, the physical body is connected to three additional 'bodies': the etheric (energetic), astral (unconscious), and ego (consciousness) bodies."
Q1: What therapies did Rudolf Steiner believe could be used to treat certain conditions?,"A1: According to Steiner, these therapies included art, movement, homeopathic remedies, herbal remedies, and biodynamic gardening."
Q2: How does Ira Progoff's journal writing therapy differ from simply keeping a diary?,"A2: Ira Progoff's method involves a series of written exercises that stimulate self-awareness and promote creativity, rather than just noting down thoughts in a traditional diary format."
Q3: What did Rudolf Steiner believe had an impact on both plant growth and human thought and feeling?,"A3: According to Steiner, he believed that cosmic cycles had a profound effect on all life forms, influencing not only plant growth and potency but also human thought and feeling."
Q1: What is Progoff's method used for?,"A1: Progoff's method involves creating a loose-leaf journal to stimulate creativity in individuals, particularly writers, dramatists, and artists."
Q2: How can bibliotherapy help children cope with difficult situations?,"A2: Bibliotherapy can involve reading stories of real-life trauma situations to help children work through their own feelings on the issue, which can be combined with other therapies such as play, art, or drama therapy."
Q3: What is another approach that can be used in conjunction with bibliotherapy?,A3: Another approach that can be used in conjunction with bibliotherapy is writing therapy.
Q1: What is bibliotherapy about?,"A1: Bibliotherapy is a form of therapy that allows individuals to express themselves through stories or characters, either by identifying with them to explore their own experiences or using them as models for new ways of dealing with issues."
Q2: Who can benefit from bibliotherapy?,"A2: Both children and adults can benefit from bibliotherapy, and it is particularly helpful for addressing personal, family, or relationship problems, trauma, and emotional issues."
Q3: How do I find a practitioner who offers bibliotherapy services?,"A3: Practitioners of bibliotherapy include psychologists, creative therapists, and educationalists, although specific training or membership requirements are not specified."
Q1: Where can you find more information about bibliotherapy?,A1: The Bibliotherapy Education Project (www.bibliotherapy.library.oregonstate.edu/index.php)
"Q2: Which ancient cultures used colour in a therapeutic context, associating it with physical and mental conditions?",A2: Both the ancient Egyptians and Greeks
Q3: Who is credited with devising a system linking colours to different diseases for treatment?,A3: The Persian physician Avicenna
"Q1: Who compiled a huge text called ""The Principles of Color"" to share Hinduism and Ayurveda knowledge with Westerners?",A1: Edwin Babitt.
"Q2: What was Rudolf Steiner's teaching on the influence of colors on mood, development, and learning?","A2: Rudolf Steiner believed that different colours could influence mood, development, and learning."
Q3: Who devised a colour test used all over the world to analyze personality and state of mind based on color preferences?,A3: Max Lüscher.
Q1: Who developed the Aura-soma colour therapy system?,"A1: Vicky Hall, a chiropodist, herbalist, and pharmacist."
Q2: What type of liquids do the bottles in Aura-soma contain?,A2: Two coloured liquids.
Q3: What was Vicky Hall's occupation before she developed Aura-soma?,"A3: A chiropodist (pedicurist), herbalist, and pharmacist."
"Q1: What is Aura-soma, a company mentioned in the text?","A1: Aura-soma is an organization that offers water as a form of 'soul therapy', with more information available at www.auro-soma.net."
Q2: What kind of evidence supports the effectiveness of colour therapy for physical and mental health issues?,"A2: While little scientific evidence supports colour therapy, studies have been conducted by Max Lüscher and his associates in Switzerland and universities around the world to demonstrate that certain colours can be exciting or calming."
Q3: How is colour light applied during a colour therapy session?,"A3: During a colour therapy session, coloured light may be applied to different parts of the body via a special torch, sat in front of a device emitting coloured light into a darkened room, or wrapped in coloured cloths."
Q1: How can I find a practitioner of colour therapy?,"A1: You can find a practitioner of colour therapy by visiting the Lüscher institute's website (www.luscher-color.com) for training in Max Lüscher's methods, or by looking into practitioners listed with the International Academy of Colour Therapeutics."
"Q2: What is the Colour Museum site, and how can I access it?",A2: The Colour Museum site (www.colour-experience.org) is an informative website about colour that offers fun and engaging information about its effects. You can log onto this site to learn more about colour in general.
Q3: How does dance therapy promote mental and physical well-being?,"A3: Dance therapy promotes mental and physical well-being by employing movement and dance, either one-to-one or in groups, to achieve various goals such as expressing emotion, storytelling, exercising, promoting coordination, and enjoying oneself."
Q1: What movement technique did Rudolf Laban pioneer?,A1: Dance therapy.
"Q2: Who developed movement therapy with psychiatric patients, people with learning disabilities, and others using Laban's work?",A2: Audrey Wethered.
Q3: How does free movement in dance therapy affect the physical body?,"A3: It seems to ""free up"" the physical body."
Q1: What is one of the benefits of dance therapy?,A1: Dance therapy can help release mental and emotional blockages.
Q2: Where can I find more information about scientific studies on dance therapy?,A2: You can visit the research page on the American Dance Therapy Association Web site (www.adta.org).
Q3: How do I find a qualified dance therapist?,A3: You can check out the Association for Dance Movement Therapy in the UK (www.admt.org.uk) or join expressive dance groups that offer Dramatherapy services.
Q1: Who developed the therapeutic theatre approach?,"A1: Vladimir Iljine, a Russian psychiatrist."
Q2: What was established in the UK by Sue Jennings and Gordon Wiseman to use drama in clinical settings?,A2: Remedial drama.
"Q3: Who spent decades demonstrating how dramatherapy could be used as an important tool for expression and self-development, as well as combating delinquency?",A3: Peter Slade.
Q1: When did dramatherapy become state registered in the UK?,A1: Dramatherapy became state registered in the UK in 1997.
"Q2: What techniques does dramatherapy combine to enable exploration of thoughts, feelings, relationships, and behaviors?","A2: Dramatherapy combines role-playing with both language and movement, using techniques such as improvisation, puppetry, mask work, theatrical production, mime, pantomime, and psychodrama."
Q3: Where can one find a list of registered drama therapists in the UK?,"A3: In the UK, one can find a list of registered drama therapists by contacting the British Association of Dramatherapists (Tel: 01242 235 515; www.badth.org.uk)."
"Q1: What does the word ""Feng"" mean in Feng shui?","A1: The word ""Feng"" means ""Wind""."
"Q2: Why is Feng shui practiced not only in China but also in other countries like Japan, Tibet, India, and elsewhere?","A2: Feng shui has been practiced in these countries for a long time, making it an ancient art that has been influenced by local cultures."
"Q3: What was the traditional context of Feng shui, as opposed to its modern Western interpretation?","A3: Traditionally, Feng shui was seen in a much wider context and intended as a way of understanding and building a harmonious relationship between humans and their environment."
Q1: What does Feng shui aim to do in relation to energy flow?,"A1: Feng shui aims to work with Qi, yin and yang, and the five natural elements in the environment to create harmony and flow."
Q2: How is Feng shui different from acupuncture?,"A2: Feng shui is similar to acupuncture in that it also aims to balance the flow of energy (Qi) in a system, but it focuses on the environment rather than the physical body."
"Q3: What does the term ""Geomancy"" refer to?","A3: Geomancy refers to a system for interpreting the shapes and patterns of grains of sand or pebbles, which is used for divination."
Q1: What is Feng shui traditionally used for in Western cultures?,A1: Feng shui was traditionally translated as geomancy and was often used as a form of divination for answering questions.
Q2: How does the Ba-Gua chart help practitioners assess the state of flow or Qi in a given space?,"A2: The Ba-Gua chart is superimposed on the room, building, or plot of land being considered to see if an assessment of the state of flow or Qi can be made."
Q3: What were some alternative uses for geomancy besides divination and fortune telling in medieval times?,"A3: Geomancy was also sometimes used to decide the appropriate form of medicine for a sick person, in addition to its traditional use as a form of fortune telling."
Q1: What is one of the aspects of life that is often missing from traditional Feng shui?,A1: Wealth
Q2: Is there any scientific evidence to support the effectiveness of Feng shui?,"A2: No, there is no real scientific research, but anecdotal evidence suggests it can improve people's well-being."
Q3: How can one find a qualified Feng shui practitioner?,A3: Check out the type and length of training they have had and their experience in applying Feng shui principles in real-life settings.
Q1: What resources can be used to find a Feng shui practitioner in the UK or US?,"A1: Other UK and US practitioners and associations can be found by entering ""Feng shui"" into a computer search engine, consulting www.fengshui directory.com, or www.fengshui-usa.com."
Q2: What is the recommended daily light exposure for maintaining health according to Nature Cure practitioners and Naturopaths?,A2: Modern science has shown that some daily light exposure is necessary to stimulate the body's production of Vitamin D and maintain normal hormonal and mood balance.
Q3: Can lack of light during winter months contribute to seasonal affective disorder (SAD)?,A3: Recent studies have shown that a lack of light during winter months can contribute to seasonal affective disorder.
Q1: What is light therapy used to treat?,"A1: Light therapy is used to treat Seasonal Affective Disorder (SAD), which triggers depression and lethargy."
Q2: How does light therapy work in terms of regulating the body's internal clocks?,"A2: Light therapy helps reset the body's internal clocks by stimulating the area of the brain linked to mood, appetite, sex drive, and other functions as light passes through the eye."
Q3: What additional benefits are associated with natural sunlight exposure beyond improving SAD symptoms?,A3: Natural sunlight triggers Vitamin D production and has an anti-bacterial effect.
Q1: What is typically measured in lux units when referring to light?,"A1: Lux units, which measure the brightness of light."
"Q2: How much lux is needed from a light box for therapeutic effect, according to most research?","A2: A minimum of 2,500–10,000 lux is needed for a therapeutic effect."
Q3: What type of filters are essential when using a light box to protect your skin and eyes?,A3: Proper UV filters.
Q1: Where can you purchase a light box for home use?,A1: You can purchase a light box from reputable suppliers such as Outside In (Tel: 01954 780 500; www.outsidein.co.uk).
"Q2: What is one of the potential side effects of using a light box, especially at night?","A2: Using a light box, especially at night, can make sleep difficult."
Q3: How does music therapy affect brain waves?,A3: Music in different keys and rhythms has been shown to have a beneficial effect on brain waves.
Q1: What countries have recognized music therapy as an accepted profession since the 1950s?,"A1: The UK, US, and Australia."
Q2: How can someone find a music therapist in the UK?,A2: They can contact the British Society for Music Therapy (BSMT) or the Association of Professional Music Therapists (APMT).
Q3: Is music therapy free within NHS settings?,"A3: No, it is not explicitly stated that music therapy is always free, but it is available within NHS settings."
"Q1: Who developed principles for play therapy, which is used particularly with children with emotional, behavioural, and mental health problems?","A1: Play therapy is based on principles developed by Virginia Axline, Violet Oaklander, and others who were influenced by the work of different psychologists."
Q2: What was Margaret Lowenfield responsible for developing in the 1920s that became a tool in its own right?,A2: British paediatrician Margaret Lowenfield was responsible for developing sand play therapy as a tool in its own right.
"Q3: Who further developed sand play therapy in Switzerland in the 1950s, building on the work of Margaret Lowenfield?","A3: A Jungian therapist, Dora Kalff, further developed sand play therapy in Switzerland in the 1950s."
Q1: What is play therapy used to help with?,"A1: Play therapy may help children with emotional, behavioural, and mental health problems and adults with emotional and relationship issues."
Q2: How can I find a play therapist in the UK?,"A2: In the UK, you can contact the British Association of Play Therapists (BAPT) or Play Therapy UK for more information and support."
Q3: Where can I learn more about sound therapy?,A3: You can find more information about sound therapy on websites such as www.sandplay.org and www.sandplay.net.
Q1: What is an alternative method to using sound wave devices for therapy?,"A1: Chanting can be used as an alternative method of sound therapy, in line with traditional Tibetan, Mongolian, and Hindu practices."
Q2: Who devised the Auditory Integration Training (AIT) method?,"A2: Dr. Guy Berard, a French ear, nose, and throat specialist, is credited with devising the AIT method."
Q3: When were machines that emit sound waves for therapy first introduced?,A3: Machines that emit sound waves for therapy have been in use since the 1950s.
Q1: Who developed a system of *ears education and retraining*?,"A1: Guy Berger, a throat specialist who worked briefly with Alfred Tomatis."
Q2: What is another name for *auditory discrimination training* in Europe?,A2: It is also known as Johansen auditory discrimination training (ADT).
Q3: Who devised the type of listening training called SAMONAS (spectrally activated music of optimal natural structure)?,"A3: Ingo Steinbeck, a German physicist, sound engineer, and musician."
"Q1: Who coined the term ""cymatics""?","A1: Hans Jenny, a Swiss scientist."
Q2: What is the goal of Dr. Peter Manners' cymatics therapy?,A2: To transform unhealthy tissue back into healthy tissue using sound waves.
Q3: Who developed vibrational sound therapy?,"A3: Fabian Maman, a French musician and acupuncturist."
Q1: Who devised Physioacoustic methodology (PAM)?,"A1: Petri Lehikoinen, a Scandinavian music therapist."
Q2: What is Overtone chanting used for?,"A2: It is a form of throat singing that uses one note to resonate through the cavities of the throat, mouth, and nose, widely used by Tibetan and Mongolian monks."
Q3: Where can more information about Functional orientated music therapy (FMT) be found?,A3: More information about FMT can be found on www.fmt-metoden.se/engfmt/fmt.htm.
Q1: What is the name of the unique form of Qi gong movement therapy practiced by the speaker?,A1: The unique form of Qi gong movement therapy practiced by the speaker is called Tao Yin Fa.
Q2: How does the practitioner use sound frequencies in their therapy?,"A2: The practitioner uses a combination of tuning forks and intuition to find a specific sound frequency that resonates with the individual's ""fundamental note"" and is believed to help empower the cells in the body."
"Q3: What is the proposed function of the ""fundamental note"" in therapy, according to proponents?","A3: Proponents claim that the fundamental note can be a useful tool in therapy, but it is not entirely clear how much the note varies from person to person or what this may mean."
Q1: What benefits can sound therapy have on physical systems?,A1: Sound therapy can be used to slow down the heart rate and lower blood pressure.
"Q2: Is sound therapy effective for children with autism, learning difficulties, and developmental delays?","A2: Sound therapy has been used extensively for these conditions, but its effectiveness has not been conclusively verified in clinical trials."
Q3: How can I find a sound therapist to work with me?,"A3: You can refer to the list of available therapies earlier in this section, which includes Web links to practitioners and other resources."
Q1: What should I do if I'm not satisfied with my treatment?,A1: You can talk things over with your therapist or make a complaint to the professional body they belong to.
Q2: How can applying Feng shui principles help me?,"A2: Applying Feng shui principles, such as clearing clutter and positioning yourself well, can enhance your home or work environment and improve your overall well-being."
Q3: Why is it recommended to clear clutter from under your bed?,A3: Clearing clutter from under your bed can also promote better sleep.
Q1: What is recommended for placing in a room to enhance well-being?,A1: Living plants with rounded leaves.
"Q2: Where should mirrors be placed to spread light, according to Feng Shui principles?","A2: In rooms and dark corners, but not in bedrooms (unless behind cupboard doors)."
Q3: What should be done with broken or damaged items to prevent a negative impact on energy flow?,A3: Repair them or get rid of them.
Q1: What type of information can be found in Chapter 24?,"A1: Chapter 24 contains tips for healthy living, superfoods to incorporate into your diet, herbal remedies to boost your health, and an A–Z list of therapies."
Q2: Which traditional medical systems emphasize body awareness?,"A2: The traditional medical systems mentioned in the text that advocate body awareness include those from China, India, Tibet, Japan, and early European Nature Cure."
Q3: What is the purpose of Chapter 24?,A3: The purpose of Chapter 24 is to provide ten simple self-care tips from complementary therapies to help achieve great health.
Q1: How can developing body awareness help with health?,"A1: Developing body awareness can help by learning to read and interpret body signs of health and disease, allowing individuals to take a more active role in their own healthcare."
Q2: Is it recommended to rely solely on body awareness for medical diagnosis?,"A2: No, it's not recommended to rely solely on body awareness for medical diagnosis. It's always best to seek medical advice if you have a cause for concern."
Q3: What is the potential benefit of developing body awareness in rare cases?,"A3: In some rare cases, developing body awareness may be life-saving by allowing individuals to catch early signs of illness or disease before symptoms become severe."
Q1: What should I replace unhealthy foods with in my diet?,"A1: You should replace junk food, burgers, sugary foods, saturated and hydrogenated fats, excess alcohol, tea, coffee, with lots of healthy whole grains, fresh fruit and vegetables, oily fish and lean meats, nuts, seeds, pulses, and even seaweeds."
Q2: What is one of the best ways to stay healthy?,A2: Boosting your immune system is probably one of the best ways of staying healthy. A good immune response helps you dispel or render harmless bacteria and viruses that we are constantly exposed to.
Q3: Where can I find more comprehensive nutritional tips?,"A3: For more comprehensive nutritional tips, please refer to Chapter 12."
Q1: What is Echinacea commonly used for?,A1: Echinacea is commonly used to raise white blood cell count and reduce the likelihood of getting a cold or decreasing its duration and severity.
Q2: How does poor posture affect the body?,"A2: Poor posture, such as balancing phones between the ear and shoulder, hunching over games consoles or computers, and carrying bags on one side of the body, can take a toll on the bones, muscles, ligaments, and tendons, leading to lost range of movement, wear and tear, and repetitive strain."
Q3: What alternative methods are mentioned for boosting the immune system?,"A3: Alternative methods for boosting the immune system include regular intake of bioflavonoids and other nutrients, treatments such as acupuncture (more about this in Chapter 9), and taking Echinacea in tablet or liquid tincture form."
Q1: What can osteopaths and chiropractors do to help improve range of movement?,"A1: They can help rebalance the body and increase the range of movements, as well as recommend exercises for practicing at home."
"Q2: According to ancient yogic sages, what happens to a person's breath when they are stressed or angry?","A2: When a person is stressed or angry, their breath becomes shallower and more rapid."
Q3: What is the main idea of ancient yogic sages about breathing?,A3: They claim that breathing is the key to life and that each person has a finite number of breaths.
Q1: How do people typically breathe during activities that involve prolonged postures and intense concentration?,"A1: People often hold or restrict their breathing, which decreases the oxygen supply to the body."
Q2: What do naturopaths recommend practicing daily to relax the body and increase oxygenation?,A2: Deep breathing in fresh air is recommended by naturopaths as a way to promote relaxation and oxygenate the tissues.
Q3: How does moderate sunlight exposure benefit the body?,"A3: Moderate, sensible sunlight exposure facilitates the production of Vitamin D in the body and allows air to circulate around the body, promoting healthy skin."
Q1: What is one potential negative consequence of overdoing exercise?,"A1: One potential negative consequence is long-term damage to joints and tissues, cell death, and even exercise addiction."
Q2: How do Oriental medicine practitioners approach exercise in contrast to Western approaches?,"A2: In Oriental medicine, the emphasis has been predominantly on therapeutic rather than aerobic exercise, with a focus on stretching, breathing, and coordination."
Q3: What can incorporating therapeutic movement systems into your regular routine help with?,"A3: Incorporating exercises like yoga, t'ai chi, and Qi gong into your regular routine can be very helpful in treating conditions such as asthma, irritable bowel problems, and more."
Q1: How can adequate rest and sleep improve overall health?,"A1: Adequate rest and sleep are essential for maintaining good health, as they enable the body to function effectively and reduce irritability, impatience, and burn-out."
Q2: What is the recommended way of incorporating rest into daily life according to Oriental medicine practitioners?,"A2: According to Oriental medicine practitioners, building brief rest periods into every day can be beneficial. Taking short rests enables you to achieve more in your day overall, as suggested by the author's Qi gong teacher in China."
"Q3: What is the location of the acupoint Heart 7, which is used as a remedy for insomnia?","A3: The acupoint Heart 7 is located on the inside of the wrist, in the groove in line with the little finger."
Q1: What is the name of the finger that should be massaged or applied pressure to when the hand is bent inwards for better sleep?,A1: The index finger.
